ssyk4,pctl_rank_genai,exposure_quartile,h1,h2,teleworkable,remote_share,emp_2024,n_ads_all,n_ads_2122,high,remote_high,z_ai,z_rem,z_rem2
1112,62.529999,Q3,0.10383698260169322,0.15435,0.5,0.015625,809,872,256,0,0.0,0.4928081275143033,0.2898212422866953,0.6791688586287175
1113,70.57,Q3,0.16969627266621265,0.19324166666666667,0.9629629629629628,0.0304114490161001,1084,1829,559,0,1.0,0.7645235674079084,1.0915543117068156,1.0823980223372698
1120,64.889999,Q3,0.11114746130627688,0.14345000000000002,1.0,0.0321914981427981,22132,6929,2423,0,0.0,0.5725653860207276,0.37881479999153045,0.5661575566936876
1230,66.779999,Q3,0.15688181752832253,0.1439652777777778,0.9012345679012346,0.0776,12059,15442,5000,0,1.0,0.6364387837229063,0.9355585145978228,0.5714999615124816
1380,14.3,Q1 (lowest),0.05970481202837265,0.09835555555555556,0.0925925925925926,0.064516129032258,1101,472,124,0,0.0,-1.1371463207939911,-0.24741838691760085,0.09861793497776462
1540,62.060001,Q3,0.03416075116753272,0.057300000000000004,1.0,0.0227272727272727,818,144,44,0,0.0,0.476924334300955,-0.5583770732221855,-0.32704644896712504
2111,98.459999,Q4 (highest),0.13351850068499568,0.1688,1.0,0.0172872340425531,1973,2580,752,1,1.0,1.7070785928260905,0.6511469500898368,0.8289865937627715
2112,97.75,Q4 (highest),0.13351850068499568,0.11109999999999999,1.0,0.0,163,182,56,1,1.0,1.6830838581725724,0.6511469500898368,0.23075245416173973
2113,86.639999,Q4 (highest),0.13351850068499568,0.1325,0.0,0.0181281618887015,4291,6065,2372,1,1.0,1.3076163913235768,0.6511469500898368,0.45262785429106533
2114,83.809998,Q4 (highest),0.13351850068499568,0.3597,1.0,0.0695067264573991,2103,1298,446,1,1.0,1.2119752382174585,0.6511469500898368,2.808239579028577
2121,99.410004,Q4 (highest),0.30818384939981475,0.37688,1.0,0.04296875,788,667,256,1,1.0,1.739184437897021,2.7774223170013457,2.986361979693147
2122,99.650002,Q4 (highest),0.30818384939981475,0.37688,1.0,0.1353535353535353,1976,1324,495,1,1.0,1.747295277950845,2.7774223170013457,2.986361979693147
2131,83.099998,Q4 (highest),0.07201093244769445,0.0966625,0.3148148148148147,0.0259325044404973,1817,6945,2815,1,0.0,1.187980469768492,-0.09761076392666088,0.08106431914458392
2132,85.459999,Q4 (highest),0.11168357006785493,0.131325,0.6296296296296295,0.0455531453362256,923,1352,461,1,0.0,1.2677377620703645,0.3853410793143399,0.440445443302656
2133,85.699997,Q4 (highest),0.11168357006785493,0.131325,0.6296296296296295,0.0284697508896797,1728,3684,1405,1,0.0,1.2758486021241886,0.3853410793143399,0.440445443302656
2134,60.400002,Q3,0.10251580601593985,0.07471666666666667,0.1666666666666666,0.3432956381260097,1723,2605,1238,0,0.0,0.42082392355374926,0.2737379993865006,-0.1464702860892862
2135,45.040001,Q2,0.09153442867865334,0.13787777777777777,0.1527777777777777,0.0680555555555555,2396,2270,720,0,0.0,-0.09827419950384943,0.14005703576757556,0.5083847045831698
2141,92.080002,Q4 (highest),0.1536473182960075,0.17370000000000002,0.5,0.0381101540067867,7933,10834,3831,1,1.0,1.4914637326569335,0.8961835836652162,0.8797898395867761
2142,94.919998,Q4 (highest),0.1536473182960075,0.212,1.0,0.0624588545095457,15157,25103,12152,1,1.0,1.5874426712710061,0.8961835836652162,1.2768845977621575
2143,93.029999,Q4 (highest),0.1536473182960075,0.20923333333333335,1.0,0.0612437928588318,42580,26971,8458,1,1.0,1.523569307364276,0.8961835836652162,1.24819977188874
2144,90.900002,Q4 (highest),0.1536473182960075,0.190475,0.4583333333333333,0.0493091303169872,20188,30910,11073,1,1.0,1.4515851034037217,0.8961835836652162,1.0537131964638524
2145,98.699997,Q4 (highest),0.1536473182960075,0.1063,0.0,0.0569923371647509,4738,4847,2088,1,1.0,1.7151894328799144,0.8961835836652162,0.18098600927291922
2146,95.150002,Q4 (highest),0.14861511389325455,0.16570000000000001,0.25,0.0527131782945736,671,2004,645,1,1.0,1.5952157596123244,0.8349244252713715,0.7968457647720749
2149,91.370003,Q4 (highest),0.1536473182960075,0.19366,0.3575757575757575,0.0855924459335973,33785,9920,3283,1,1.0,1.4674689980034157,0.8961835836652162,1.0867353062494551
2161,89.949997,Q4 (highest),0.13268252637330308,0.2152,1.0,0.0464135021097046,6635,1062,474,1,1.0,1.4194792583327913,0.6409702802500452,1.3100622276880378
2162,90.190002,Q4 (highest),0.13268252637330308,0.1638,1.0,0.0892018779342723,1313,517,213,1,1.0,1.4275903349547554,0.6409702802500452,0.7771465470035833
2163,91.129997,Q4 (highest),0.22680030225923353,0.19820000000000002,0.0,0.116751269035533,3951,1449,591,1,1.0,1.4593578875860036,1.7867058822296564,1.1338060687067981
